k1,b,label,digest8,ndcg@1,ndcg@5,ndcg@8,ndcg@10,p@1,p@5,p@8,p@10,r@1,r@5,r@8,r@10,mrr@10,runLines,zeroResultQueries,p95SearchMs
3,0.2,v4-p099,52f556c1,0.153067,0.198893,0.215712,0.223498,0.161458,0.075260,0.057292,0.050434,0.111750,0.242466,0.288363,0.311449,0.235814,23040,0,8.102167
3,0.3,v4-p100,88c59a73,0.165365,0.209982,0.228436,0.236157,0.174913,0.078733,0.060330,0.052951,0.120023,0.254682,0.304101,0.327562,0.249793,23040,0,8.245250
3,0.4,v4-p101,a9c6ea1f,0.171730,0.216255,0.234410,0.242936,0.180990,0.081771,0.062174,0.054601,0.121549,0.262200,0.310869,0.337185,0.257749,23040,0,8.156625
3,0.5,v4-p102,7fe062cb,0.174334,0.220965,0.240428,0.248290,0.183594,0.084549,0.064670,0.056076,0.122923,0.268638,0.321932,0.346826,0.262287,23040,0,8.096667
3,0.6,v4-p103,9dccbb10,0.177228,0.222571,0.243976,0.252753,0.185330,0.084462,0.065592,0.057292,0.124827,0.266774,0.326212,0.352990,0.265277,23040,0,8.088167
3,0.7,v4-p104,52ed7607,0.173177,0.221822,0.244563,0.252241,0.180122,0.085156,0.066895,0.057378,0.122603,0.267767,0.331644,0.355549,0.262849,23040,0,8.150167
3,0.75,v4-p105,9f19e0b6,0.176215,0.222802,0.244697,0.252071,0.182292,0.085417,0.066786,0.057161,0.124068,0.268939,0.330655,0.354285,0.263502,23040,0,8.213125
3,0.8,v4-p106,fad53eb2,0.172309,0.221305,0.242741,0.251699,0.178385,0.085069,0.066243,0.057422,0.121213,0.269051,0.329099,0.357848,0.261605,23040,0,8.293000
3,0.9,v4-p107,015fae93,0.170428,0.218401,0.239374,0.247634,0.176215,0.083767,0.065213,0.056684,0.120023,0.267056,0.325743,0.351269,0.257310,23040,0,7.963417
3,1,v4-p108,63c5c654,0.165365,0.212668,0.232966,0.242279,0.171441,0.081858,0.063694,0.055729,0.116028,0.261396,0.318010,0.348037,0.250482,23040,0,8.244875
